problem_ordinal,example_idx,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,fpga_draft_ms,our,weak,strong
0,0,1,draft|draft_verify,121.47808074951172,3883.350133895874,0.0,92.0,27.0,161.56320000000002,121.47808074951172,4004.8882362453855,121.47808074951172
0,0,2,draft|draft_verify,440.45543670654297,66.50280952453613,0.0,119.0,91.0,557.8720000000001,3883.410155495874,507.0183190310791,3883.410155495874
0,0,3,draft|draft_verify,378.22461128234863,72.28827476501465,0.0,210.0,83.0,525.9152,525.9152,450.57295244736326,378.22461128234863
0,0,4,draft|draft_verify,630.4020881652832,106.47797584533691,0.0,293.0,137.0,904.3736,904.3736,736.9401736106201,630.4020881652832
0,0,5,draft|draft_verify,96.99296951293945,127.4557113647461,0.0,430.0,19.0,128.0464,255.5621265647461,224.50869607768556,234.053812010083
1,1,1,draft|draft_verify,361.62877082824707,32.207489013671875,0.0,88.0,88.0,532.6816,361.62877082824707,393.8963302419189,361.62877082824707
1,1,2,draft|draft_verify,250.34117698669434,53.03335189819336,0.0,176.0,49.0,304.3576,304.3576,303.4345680848877,250.34117698669434
1,1,3,draft|draft_verify,182.42144584655762,61.3558292388916,0.0,225.0,39.0,246.1584,246.1584,243.83730628544922,182.42144584655762
1,1,4,draft|draft_verify,121.52862548828125,67.40164756774902,0.0,264.0,25.0,159.4264,226.88806756774903,188.99029305603028,188.99029305603028
2,2,1,draft|draft_verify,254.65083122253418,53.319692611694336,0.0,129.0,56.0,342.164,254.65083122253418,308.03056863422853,254.65083122253418
2,2,2,draft|draft_verify,212.2800350189209,75.27637481689453,0.0,185.0,47.0,292.7984,292.7984,287.6164474358154,212.2800350189209
2,2,3,draft|draft_verify|target|target_rescue_verify,488.88134956359863,175.34542083740234,586.9832038879395,232.0,107.0,686.8112000000001,774.5439960187013,1251.2700598889405,586.9832038879395
2,2,4,draft|draft_verify,449.21207427978516,116.93096160888672,0.0,322.0,93.0,615.1848,615.1848,566.203110288672,449.21207427978516
2,2,5,draft|draft_verify,526.0443687438965,144.17552947998047,0.0,415.0,109.0,747.3543999999999,747.3543999999999,670.279985423877,526.0443687438965
2,2,6,draft|draft_verify,407.69267082214355,129.94742393493652,0.0,524.0,84.0,594.9072,594.9072,537.7001619570801,407.69267082214355
2,2,7,draft|draft_verify,354.42566871643066,137.95208930969238,0.0,608.0,74.0,537.764,537.764,492.43781722612306,354.42566871643066
2,2,8,draft|draft_verify,77.61645317077637,155.05146980285645,0.0,682.0,15.0,109.2672,293.1236303125488,232.7279349736328,293.1236303125488
