problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,5,5690.739162810131,5923.928377412134,5247.568747703101,2826.143220938109,3844.5772672460744,3560.2196301739277,1.0409769641395499,0.9221242790386144,1.3603617958080365,1.2597449427889043
1,1,4,1139.0328383959961,1130.1584976682861,983.3816867175293,467.35161288076785,733.4310770075177,683.7692732810974,0.9922088807025029,0.8633479681782861,1.569334643966732,1.46307245858493
2,2,8,4110.327257553785,4346.266085828369,3084.412483004199,1892.23976351944,2791.2939280762157,2340.5676678676195,1.0574014703673498,0.7504055735065369,1.475126980147904,1.2369297554102339
3,3,18,4114.710499251025,4747.565218869727,3452.7676220496824,1835.3588486779458,3080.9818265888516,2514.5662663638554,1.1538029758676573,0.8391277157112677,1.6786808905561759,1.3700679124276756
4,4,17,5229.258360691846,5979.3134956471185,4245.112427428174,2369.6685229886143,3870.0603759818505,3128.1706491595783,1.1434343234202025,0.8118000937453267,1.6331652880719998,1.320087859889511
5,5,52,19389.502096398304,24128.03198981427,14938.062215389955,9691.643477139634,15565.663864213908,11445.485697853266,1.24438636277804,0.770420103678927,1.6060912579924902,1.180964376666408
6,6,7,2093.9676011200927,2006.4617899944333,1636.5000610810303,865.0667299986268,1302.1205759095874,1156.0019900798798,0.9582105228949811,0.781530745846136,1.5052255863679491,1.3363153962489285
7,7,21,3865.995350708276,4710.459113302612,3230.9647574537107,1866.6391056006391,3049.2726747660067,2421.414988782512,1.2184337243032703,0.8357394317253322,1.6335630522349016,1.2972057541906898
8,8,10,27990.96847678599,24833.833942001507,20848.08751022715,12767.407100119532,15475.267199797527,14109.547948360443,0.8872088138928519,0.7448147972270872,1.2120916234943777,1.1051224291444695
9,9,6,3703.6453879258424,3051.106640068872,2656.64257494469,1627.3319550482147,1975.5254008321829,1930.9952923112398,0.8238117639490284,0.7173047893854906,1.2139658381953495,1.1866019629990172
10,10,5,1821.0940793583986,1675.1866946726318,1449.6197005681151,733.4313660213317,1087.1439248921383,1004.3744196891785,0.9198792712910404,0.796015822026526,1.4822708371331355,1.3694184162556888
11,11,14,5070.168758725146,5141.106504019873,3906.93701709917,2153.968513782706,3336.431863251298,2798.4723796764233,1.0139912000310938,0.7705733680709946,1.5489696538748385,1.2992169392308655
12,12,15,3868.3229917652584,4838.237871496485,3316.8100995638424,1834.5857386515406,3103.4237034917737,2453.2986499135322,1.250732651279623,0.857428427415328,1.69162096821534,1.337249384548666
13,13,12,4491.673359464697,4491.687786512158,3365.5732721736813,1914.4126688625925,2914.9800042191905,2433.004201746128,1.0000032119538325,0.7492916342818792,1.5226497670176116,1.270888059465071
14,14,3,4772.786137048242,3564.3201413684815,3354.5651012846924,1845.6428400867921,2313.2123583449447,2270.99405169487,0.7468007237325861,0.7028525907006893,1.2533369447775524,1.2304623637735217
15,15,10,5375.184365078614,5552.174353356933,4240.149097502881,2367.6895659157626,3570.5578765908813,3076.6494484507593,1.0329272404921,0.7888378908545339,1.508034637644686,1.299431096348473
16,16,6,6896.095626806738,5328.700568739771,4706.419440962158,2708.8459227309263,3458.2638979857115,3228.7917599650964,0.7727126851353199,0.6824759538813823,1.27665581455414,1.1919436734555895
